"Software","WordforWindows","WordforMac","WordOnline","Pages","ApacheOpenOffice/LibreOffice","Kile/LyX","GoogleDocs","RTFscan","Other"
"Bebop","No","No","No","No","No","No","No","No","none"
"BibBase","No","No","No","No","No","No","No","No","none"
"BibDesk","No","No","No","No","No","Yes","?","?","?"
"Biblioscape","Yes","No","?","No","No","No","No","?","WordPerfect"
"BibSonomy","No","No","No","No","No","No","No","No","none"
"Bibus","Yes","?","?","?","Yes","No","No","?","none"
"Bookends","Yes","Yes","No","Yes","Yes","No","No","Yes","Mellel,Nisus"
"Citavi","Yes","Yes","No","No","Onlyversionspriorto6.0","Yes","No","Onlyversionspriorto6.0","LaTeXeditorsLEd,Texmaker,TeXnicCenter,TeXstudio,TeXworks,WinEdt,WinShell"
"CiteULike","No","No","No","No","No","No","No","No","none"
"colwiz","Yes","?","?","?","Yes","No","No","?","NeoOffice,StarOffice"
"EndNote","Yes","Yes","No","Yes","No","No","No","Yes","No"
"JabRef","Yes","?","?","?","Yes","Yes","No","?","Emacs,Texmaker,TeXstudio,Vim,WinEdt"
"KBibTeX","No","?","?","?","No","Yes","No","?","none"
"Mendeley","Yes","Partial","Yes","No","Yes","No","No","?","NeoOffice"
"Paperpile","inbeta","No","No","No","No","No","Yes","No","No"
"Pybliographer","No","?","?","?","Yes","Yes","No","?","none"
"Qiqqa","Yes","No","?","?","No","Yes","No","No","none"
"ReadCube(nowPapers)","Yes","Yes","Yes","Yes","Yes","No","Yes","No","ManuscriptsApp,Ulysses,Scrivener"
"refbase","No","?","?","?","Yes","No","No","Yes","PIRA,MediaWiki,SPIP"
"RefDB","No","?","?","?","No","No","No","No","none"
"ReferenceManager","Yes","No","?","No","No","No","No","Yes","none"
"Referencer","?","?","?","?","?","?","?","?","?"
"RefME","?","?","?","?","?","?","?","?","?"
"RefWorks","Yes","Yes","No","No","No","No","Yes","Yes","none"
"SciRef","Yes","?","?","?","No","No","No","No","none"
"Sente","Yes","?","?","Onlyversionspriorto5.0","No","No","No","Yes","Mellel,Nisus,TextEdit;HTMLandplaintextscan"
"Wikindx","WIP","WIP","WIP","No","WIP","No","Yes","Yes","IntegratedWYSIWYGwordprocessor(RTFoutput)"
"WizFolio","Yes","?","?","?","Yes","No","Yes","?","ZohoWriter"
"Zotero","Yes","Yes","No","No","Yes","(withLyZ)","Yes","Yes","Logseq,NeoOffice,Obsidian(withthirdpartyplugin),RStudio,Zettlr"
