"Manager","Webbrowserintegration","Resuming","Downloadacceleration","URLsperfile","Mirrorsearch","Autodial/hangup","Categorizeddownloads","Cookiesimport","Speedlimit","Filebrowser","ZIPpreview","Add-onsupport","Scheduler","Checksumverification","RemoteAccess/Control","ModifiedTime-stamppreserved"
"4KVideoDownloader","No","Yes","Yes","?","No","No","No","No","No","Yes","No","No","No","No","No","?"
"BitComet","Yes","Yes","Yes","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes"
"DownloadAcceleratorPlus","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"DownloadStudio","Yes","Yes","Yes","1","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","?"
"DownThemAll!","RequiresFirefox","Yes","Yes","10","Beta","No","Yes","No","Beta","No","No","No","No","Yes","No","Yes"
"FlashGet","Yes","Yes","Yes","unknownlimit","Yes","Yes","Yes","Yes","Alldownloads","Yes","No","Yes","N/A","No","No","?"
"FreeDownloadManager","Yes","Yes","Yes","10","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FreeStudio","Yes","Yes","Yes","unlimited","No","No","No","No","No","No","No","No","No","No","No","?"
"FreemakeVideoDownloader","No","Yes","Yes","unlimited","No","No","No","No","Yes","Yes","No","No","No","No","No","?"
"GetRight","Yes","Yes","10streams,needsmirrorsfor>4streams","unlimited","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Scripting","Yes","Yes","Yes","Yes"
"Go!Zilla","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"InternetDownloadAccelerator","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"InternetDownloadManager","Yes","Yes","Yes","1refreshable","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes"
"JDownloader","Yes","Yes","Yes","1","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","?"
"Jigdo","No","Yes","?","unlimited","?","No","No","No","No","No","No","?","No","Yes","No","No"
"KGet","Konqueror,Fx(viaFlashgotplugin)","Yes","Yes","unlimited","Yes","Yes","Yes","Yes","BitTorrentOnly","Yes","No","Yes","?","Yes","Yes","?"
"MicrosoftDownloadManager","Yes","Yes","Yes","?","No","No","No","No","No","No","No","No","No","No","No","?"
"MiniDM","Yes","Yes","Yes","unlimited","No","No","No","No","No","Yes","No","Yes","?","Yes","Yes","?"
"MLDonkey","Partial","Yes","No","unlimited","No","No","Yes","No","Yes","No","No","Yes","?","Yes","Yes","?"
"Shareaza","IE;Fxandsimilar:ext.plugin","Yes","Yes","unlimited","Yes","viaScheduler","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"Manager","Webbrowserintegration","Resuming","Downloadacceleration","URLsperfile","Mirrorsearch","Autodial/hangup","Categorizeddownloads","Cookiesimport","Speedlimit","Filebrowser","ZIPpreview","Add-onsupport","Scheduler","Checksumverification","RemoteAccess/Control","ModifiedTime-stamppreserved"
