"Name","Creator","Firstreleasedate","Lateststableversion","Latestreleasedate","License","Language","Webapplicationframework","CMSextension"
"AbanteCartSoftware","BelavierCommerce,LLC","2011","1.2.15","2019-05-13[±]","OSL3.0","PHP","Model-View-Controller","integrated,and3rdpartyextensions"
"ApacheOFBiz","ApacheSoftwareFoundation","2007","17.12.04","2020-07-13","Apache2.0","Java","ApacheOFBiz","integrated,and3rdpartyextensions"
"Batavi","Batavi","?","Continuous/SaaS","Continuous/SaaS","Proprietary","PHP","",""
"BigCommerce","BigCommerceInc","?","Continuous/SaaS","Continuous/SaaS","Proprietary","PHP","",""
"CEPhoenix","osCommerceandGaryBurton","2019-07-04","1.0.2.0","2019-08-14","GNUGPL","PHP","Bootstrap4",""
"DrupalCommerce","DrupalCommerce","2011-08-23","2.17","2020-02-28[±]","GPL","PHP","","Drupal"
"KonaKart","DSDataSystemsUKLtd","?","9.0.0.0","2019-08-26","GNULGPL","Java","",""
"Magento","Varien","2007-08-13","2.4.3","2021-08-10[±]","OSL3.0","PHP","ZendFramework",""
"MivaMerchant","Miva,Inc.","?","9.14","2019-08-07","Proprietary","MIVAScript","",""
"nopCommerce","NopSolutionsLtd","2008-10-23","4.50","2022-01-26[±]","GPL","C#","ASP.NETMVC",""
"OpenCart","OpenCartLtd.","1999-05-11","3.0.3.8","2021-08-27[±]","GPL","PHP","",""
"osCommerce","osCommerce","2000-03","2.3.4.1","2017-08-18","GNUGPL","PHP","",""
"pimcore","pimcoreGmbH","2010","6.8.5","2020-11-30[±]","BSD","PHP","Symfony","pimcore"
"PrestaShop","PrestaShopSA","2007-08-15","1.7.7.8","2021-09-14[±]","OSL3.0","PHP","Symfony",""
"Shopify","Shopify","2006","Continuous/SAAS","Continuous/SAAS","Proprietary","Ruby","RubyonRails",""
"SpreeCommerce","SeanSchofield","2007","4.1","2020-03-02[±]","BSD","Ruby","RubyonRails",""
"SupaDupa","SupaDupa","?","Continuous/SAAS","Continuous/SAAS","Proprietary","Ruby","RubyonRails",""
"uCoz","uCozMedia","?","Continuous/SAAS","Continuous/SAAS","Proprietary","Perl","",""
"VirtueMart","MaxMilbersandTeam","?","3.8.4","2020-06-18[±]","GPL","PHP","","MamboorJoomla!"
"WooCommerce","WooThemes","2011","6.2.1","2022-02-22","GPL","PHP","","WordPress"
"ZenCart","ZenVentures","2003-06","1.5.7c","2020-06-23[±]","GPL","PHP","",""
"","Creator","Firstreleasedate","Lateststableversion","Latestreleasedate","License","Language","Webapplicationframework","CMSextension"
