"Format","Languages"
"name[first:last]","ALGOL68,Julia"
"name[first+(⍳len)-⎕IO]","APL"
"name[first:end:step]","Python"
"name[first:end]","Go"
"name[first..last]","Pascal,ObjectPascal,Delphi,Nim"
"$name[first..last]","WindowsPowerShell"
"@name[first..last]","Perl"
"name[first..last]name[first...end]name[first,len]","Ruby"
"copy/partskipnamefirstlen","Red"
"name(first..last)","Ada"
"name(first:last)","Fortran,GNUOctave,MATLAB"
"name[[first;;last;;step]]","Mathematica,WolframLanguage"
"name[[first:last]]","S-Lang"
"name.[first..step..last]","F#"
"name.slice(first,end)","Haxe,JavaScript,Scala"
"name.slice(first,len)","CFML"
"array_slice(name,first,len)","PHP"
"(subseqnamefirstend)","CommonLisp"
"(subseqnamefirstend)","ISLISP"
"Array.subnamefirstlen","OCaml"
"[namesubarrayWithRange:NSMakeRange(first,len)]","Objective-C(NSArray*only)"
"(first([+i.@(-~)end){name","J"
"name[first..<end]name[first...last]","Swift"
"namecopyFrom:firstto:lastnamecopyFrom:firstcount:len","Smalltalk"
"name[first..end]","D,C#"
"name[first..end]name[first..=last]","Rust"
"name[first:end]","Cobra"
