"","Maintainer","Firstpublicreleasedate","Lateststableversion","Latestreleasedate","License","Publicissueslist"
"4D(4thDimension)","4DS.A.S.","1984","v16.0","2017-01-10","Proprietary","No"
"ADABAS","SoftwareAG","1970","8.1","2013-06","Proprietary","No"
"AdaptiveServerEnterprise","SAPAG","1987","16.0SP03PL07","2019-06-10","Proprietary","No"
"AdvantageDatabaseServer(ADS)","SAPAG","1992","12.0","2015","Proprietary","No"
"Altibase","AltibaseCorp.","2000","7.1.0.1.2","2018-03-02","GNU-AGPLv3;GNU-LGPLv3(forclient-libraries)","No"
"ApacheDerby","Apache","2004","10.15.1.3","2019-03-11","ApacheLicense","Yes"
"ClustrixDB","MariaDBCorporation","2010","v7.0","2015-08-19","Proprietary","No"
"CockroachDB","CockroachLabs","2015","v20.2.8","2021-04-23","BSL,CCL,MIT,BSD","Yes"
"CUBRID","CUBRID","2008-11","10.2.1","2020-06-01","GPLv2orlater,BSDlicenseforAPIsandGUItools","Yes"
"Datacom","CA,Inc.","Early70s","14","2012","Proprietary","No"
"Db2","IBM","1983","11.5.7","2021-12-08;3monthsago","Proprietary","No"
"EmpressEmbeddedDatabase","EmpressSoftwareInc","1979","10.20","2010-03","Proprietary","No"
"Exasol","EXASOLAG","2004","7.1.1","2021-09-15;6monthsago","Proprietary","No"
"FileMaker","FileMaker,Inc.,anApplesubsidiary","1985-04","19","2020-05-20","Proprietary","No"
"Firebird","Firebirdproject","2000-07-25","4.0","2021-06-01;9monthsago","IPLandIDPL","Yes"
"GPUdb","GISFederal","2014","3.2.5","2015-01-14","Proprietary","No"
"HSQLDB","HSQLDevelopmentGroup","2001","2.6.1","2021-10-21","BSD","Yes"
"H2","H2Software","2005","1.4.200","2019-10-14","EPLandmodifiedMPL","Yes"
"InformixDynamicServer","IBM","1981????1980","14.10.xC7W1","2022-01-15","Proprietary","No"
"Ingres","IngresCorp.","1974","11.0","2017-03-21","GPLandProprietary","No"
"InterBase","Embarcadero","1984","XE7v12.0.4.357","2015-08-12","Proprietary","No"
"LinterSQLRDBMS","RELEXGroup","1990","6.0.17.53","2018-02-15","Proprietary","Yes"
"LucidDB","TheEigenbaseProject","2007-01","0.9.4","2012-01-05","GPLv2","No"
"MariaDB","MariaDBCommunity","2010-02-01","10.7.3","2022-02-12;35daysago","GPLv2,LGPL(forclient-libraries)","Yes"
"MaxDB","SAPAG","2003-05","7.9.0.8","2014","Proprietary","Yes"
"SingleStore(formerlyMemSQL)","SingleStore","2012-06","7.1.11","2020-10-12","Proprietary","No"
"MicrosoftAccess(JET)","Microsoft","1992","16(2016)","2015-09-22","Proprietary","No"
"MicrosoftVisualFoxpro","Microsoft","1984","9(2005)","2007-10-11","Proprietary","No"
"MicrosoftSQLServer","Microsoft","1989","2019","2019-11-04;2yearsago","Proprietary","No"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","Microsoft","2000","2011(v4.0)","","Proprietary","No"
"MimerSQL","MimerInformationTechnology","1978","11.0.5A","2021-03-01","Proprietary","No"
"MonetDB","TheMonetDBTeam/CWI","2004","Jan2022","2022-01-24","MozillaPublicLicense,version2.0","Yes"
"mSQL","HughesTechnologies","1994","4.1","2017-06-30","Proprietary","No"
"MySQL","OracleCorporation","1995-11","8.0.28","2022-01-18;60daysago","GPLv2orProprietary","Yes"
"NexusDB","NexusDBPtyLtd","2003","4.00.14","2015-06-25","Proprietary","No"
"HPENonStopSQL","Hewlett-PackardEnterprise","1987","SQL/MX3.4","","Proprietary","No"
"NuoDB","NuoDB","2013","4.1","August2020","Proprietary","No"
"OmnisStudio","TigerLogicInc","1982-07","6.1.3Release1no","2015-12","Proprietary","No"
"OpenEdge","ProgressSoftwareCorporation","1984","11.6.3","2016-08-19","Proprietary","No"
"OpenLinkVirtuoso","OpenLinkSoftware","1998","7.2.5.1","2018-08-15","GPLv2orProprietary","Yes"
"OracleDB","OracleCorporation","1979-11","19c","2019-02-13;3yearsago","Proprietary","No"
"OracleRdb","OracleCorporation","1984","7.4.1.1","2021-04-21[±]","Proprietary","No"
"Paradox","CorelCorporation","1985","11","2009-09-07","Proprietary","No"
"PerconaServerforMySQL","Percona","2006","8.0.25-15","2021-07-13[±]","GPLv2","Yes"
"PervasivePSQL","PervasiveSoftware","1982","v12","2015","Proprietary","No"
"PolyhedraDBMS","ENEAAB","1993","9.0","2015-06-24","Proprietary,withPolyhedraLiteavailableasFreeware","No"
"PostgreSQL","PostgreSQLGlobalDevelopmentGroup","1989-06","14.2","2022-02-10;37daysago","PostgresLicense","No"
"R:Base","R:BASETechnologies","1982","10.0","2016-05-26","Proprietary","No"
"RaimaDatabaseManager","RaimaInc.","1984","15.2","2022-02-28","Proprietary","No"
"RDMServer","RaimaInc.","1993","8.4","2012-10-31","Proprietary","No"
"SAPHANA","SAPAG","2010","2.0SPS04","2019-08-08","Proprietary","No"
"solidDB","UNICOMGlobal","1992","7.0.0.10","2014-04-29","Proprietary","No"
"SQLAnywhere","SAPAG","1992","17.0.0.48","2019-07-26","Proprietary","No"
"SQLBase","UnifyCorp.","1982","11.5","2008-11","Proprietary","No"
"SQLite","D.RichardHipp","2000-09-12","3.38.1","2022-03-12;7daysago","Publicdomain","Yes"
"SQreamDB","SQreamTechnologies","2014","2.1","2018-01-15","Proprietary","No"
"Superbase","Superbase","1984","Classic","2003","Proprietary","No"
"SuperbaseNG","SuperbaseNG","2002","SuperbaseNG2.10","2017","Proprietary","Yes"
"Teradata","Teradata","1984","15","2014-04","Proprietary","No"
"Tibero","TmaxSoft","1992","6.0FS07_CS_2005","2021-03","Proprietary","No"
"TiDB","Apache","2016","5.0.1","2021-04-23;10monthsago","ApacheLicense","Yes"
"UniData","RocketSoftware","1988","8.2.1","2017-07","Proprietary","No"
"YugabyteDB","Apache","2018","2.7.2.0","2021-07-29[±]","ApacheLicense","Yes"
"","Maintainer","Firstpublicreleasedate","Lateststableversion","Latestreleasedate","License","Publicissueslist"
