"Model","Features","Features","Features","Features","Features","Features","Features"
"Model","ScalableLinkInterface(SLI)","3-WaySLI","PureVideoHDwithVP1","PureVideo2withVP2,BSPEngine,andAES128Engine","PureVideo3withVP3,BSPEngine,andAES128Engine","PureVideo4withVP4","Computeability"
"GeForce8300GS(G86)","No","No","No","Yes","No","No","1.1"
"GeForce8400GSRev.2(G98)","No","No","No","No","Yes","No","1.1"
"GeForce8400GSRev.3(GT218)","No","No","No","No","No","Yes","1.2"
"GeForce8500GT","Yes","No","No","Yes","No","No","1.1"
"GeForce8600GT","Yes","No","No","Yes","No","No","1.1"
"GeForce8600GTS","Yes","No","No","Yes","No","No","1.1"
"GeForce8800GS(G92)","Yes","No","No","Yes","No","No","1.1"
"GeForce8800GTS(G80)","Yes","No","Yes","No","No","No","1.0"
"GeForce8800GTSRev.2(G80)","Yes","No","Yes","No","No","No","1.0"
"GeForce8800GT(G92)","Yes","No","No","Yes","No","No","1.1"
"GeForce8800GTS(G92)","Yes","No","No","Yes","No","No","1.1"
"GeForce8800GTX","Yes","Yes","Yes","No","No","No","1.0"
"GeForce8800Ultra","Yes","Yes","Yes","No","No","No","1.0"
