"Manager","DownloadPodcasts","RebuildiPodDatabase","Portable","6thGen.Firmware","5thGen.nanoFirmware","shuffle3GFirmware","iPodtouch/iPhonesupport","Photosupport","SupportsGaplessMetadata"
"Amarok","Yes","Yes","?","Yes","?","No","Yes","?","?"
"Banshee","Yes","Yes","?","No","Yes","Yes","Yes","?","?"
"Clementine","Yes","No","?","No","No","?","Yes","?","?"
"EphPod","No","Yes","?","?","No","No","No","No","No"
"gtkpod","No","?","?","Yes","Yes","Yes","Yes,jailbrokenonly","?","Yes"
"iRip","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"iTunes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"JRiverMediaCenter","Yes","?","?","?","?","?","?","?","?"
"MediaMonkey","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Rhythmbox","Yes","?","?","?","Yes","No","Yes","No","No"
"Senuti","No","?","?","?","?","?","Yes","?","?"
"Winampnative","Yes","?","?","?","?","?","?","?","Yes"
"XPlay","No","Yes","No","?","?","?","?","Yes","?"
"Manager","DownloadPodcasts","RebuildiPodDatabase","Portable","6thGen.Firmware","5thGen.nanoFirmware","shuffle3GFirmware","iPodtouch/iPhonesupport","Photosupport","SupportsGaplessMetadata"
