"Name","FAT","FAT","FAT","FAT","Minix","ext2","btrfs","HFS","APFS","AFFS","YAFFS","F2FS","ZFS","NILFS","YAFFS"
"Name","FAT12","Minix","ext2","btrfs","HFS","APFS","AFFS","F2FS","ZFS","NILFS","FAT16","FAT32","exFAT","YAFFS1","YAFFS2"
"AcronisOSSelector","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AiR-BOOT","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AKernelLoader","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?","?","?"
"Barebox","Yes","Yes","Yes","?","No","Yes","No","No","No","No","No","No","No","?","?"
"BOOTBOOT","No","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"BootItBareMetal","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootKey","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"bootload","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX(Apple)","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX(Linux)","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Clover","?","?","Yes","Yes","?","?","?","?","Yes","?","?","?","?","?","?"
"DarwinBootLoader","?","?","Yes","?","?","?","?","Yes","Yes","?","?","?","?","?","?"
"DasU-Boot","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?","?","?","?","?"
"extipl","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"FreeLoader(ReactOS)","Yes","Yes","Yes","?","?","Yes","Yes","?","?","?","?","?","?","?","?"
"GAG","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GNUGRUB2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?","?"
"GRUBLegacy","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Grub2Win","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GRUB4DOS","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Gujin","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"systemd-boot/Gummiboot","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"iBoot","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"LILO","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Limine","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No"
"loader(FreeBSD)","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?","Yes","?","?","?"
"loadlin","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"LOLO","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","Yes","Yes"
"MasterBooter","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MultipleBootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NTLDR","?","Yes","Yes","?","?","No","No","No","No","No","No","No","No","?","?"
"OpenCore","?","Yes","Yes","Yes","?","?","?","Yes","Yes","?","?","?","?","?","?"
"OSL2000BootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"PLoPBootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RedBoot","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"rEFInd","Yes","Yes","Yes","?","?","Yes","Yes","?","?","?","?","?","?","?","?"
"rEFIt","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SmartBootManager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SPFdisk","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Syslinux","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","?","?"
"TianocoreEDKII","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
"WindowsBootManager","?","?","Yes","Yes","?","?","?","No","No","?","?","?","?","?","?"
"XOSL","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"yaboot","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?","?","?"
