"Meaning","China","China","HongKong","MalaysiaSingapore","Macau","MalaysiaSingapore","Taiwan"
"Meaning","Traditional","Simplified","Traditional","Traditional","Traditional","Simplified","Traditional"
"bus","??????/????","??????/????","??","??","??","??","??"
"taxi","???,??,???","???,??,???","??,?","??,?","??","??","???,??"
"police","??/??","??/??","?????","?????????","??/??/??","??/??/??","??/??/??"
"townsquare","??","??","??","??","??","??","??"
"laser","??,??","??,??","??,??,??","??,??,??","??,laser","??,laser","??"
"rapidtransit","???????","???????","??","??","??","??","??"
"lightrail","??,????","??,????","??","??","??","??","??"
"instantnoodles","???,??","???,??","???,???","???,???","??,???","??,???","??,???,???"
"StandardChinese","???","???","??/???","??/???","??","??","??"
"potato","??,???,??,??","??,???,??,??","??","??","???","???","???,??"
"pineapple","??/??","??/??","??,??(onlyin???)","??","??","??","??,??(inHakkalanguage),??(in???)"
"lorry/truck","??(largetruck);??(smalltruck)","??(largetruck)","??,???(cargocontainertruck)","??,???(cargocontainertruck)","??","??","??,???(cargocontainertruck)"
"tights/pantyhose","??/???","??/???","??","??","??","??","??"
"lunchbox/bento","??","??","??","??","??","??","??,??"
"butter","??","??","??","??","??","??","??"
"air-conditioner","??","??","???","???","???","???","???"
"paperclip","???/???","???/???","???","???","???","???","???"
"rockpaperscissors","?????","?????","???","???","?????","?????","?????"
"plasticbag","??","??","??","??","???","???","???"
"wetmarket","??","??","??","??","??","??","??"
